how it appears in ARC file,id,first_name,last_name,link,company,start,end,,
歌川国虎 Utagawa Kunitora,kunitora_utagawa,歌川 (Utagawa),国虎 (Kunitora),https://www.wikidata.org/wiki/Q11545146,,1804-01-01T00:00:00Z,1845-12-31T23:59:59Z,,
歌川国虎 Utagawa Kunitora II,kunitora_utagawa_2,歌川 (Utagawa),国虎 (Kunitora) 二代目 (II),https://www.wikidata.org/wiki/Q17194155,,1800-01-01T00:00:00Z,1896-12-31T23:59:59Z,,
国利 | Utagawa Kunitoshi,kunitoshi_utagawa,歌川 (Utagawa),国利 (Kunitoshi),https://www.wikidata.org/wiki/Q2502854,,1847-01-01T00:00:00Z,1899-09-07T00:00:00Z,,
歌川国綱 Utagawa Kunitsuna 一蘭斎国綱,kunitsuna_utagawa,歌川 (Utagawa),国綱 (Kunitsuna),https://www.wikidata.org/wiki/Q11545143,,1818-01-01T00:00:00Z,1861-12-31T23:59:59Z,,
歌川国鶴 Utagawa Kunitsuru,kunitsuru_utagawa,歌川 (Utagawa),国鶴 (Kunitsuru),https://www.wikidata.org/wiki/Q11522144,,1807-01-01T00:00:00Z,1878-12-31T23:59:59Z,,
歌川国鶴 Utagawa Kunitsuru II,kunitsuru_utagawa_2,歌川 (Utagawa),国鶴 (Kunitsuru) 二代目 (II),https://www.wikidata.org/wiki/Q11545150,,1852-01-01T00:00:00Z,1919-12-31T23:59:59Z,,
歌川国安 Utagawa Kuniyasu,kuniyasu_utagawa,歌川 (Utagawa),国安 (Kuniyasu),https://www.wikidata.org/wiki/Q11545119,,1794-01-01T00:00:00Z,1832-08-01T23:59:59Z,,
一勇斎国芳 Ichiyusai Kuniyoshi,kuniyoshi_ichiyusai,一勇斎 (Ichiyūsai),国芳 (Kuniyoshi),https://www.wikidata.org/wiki/Q317736,,1798-01-01T00:00:00Z,1861-12-31T23:59:59Z,,
"歌川国芳 Utagawa Kuniyoshi, 国好",kuniyoshi_utagawa,歌川 (Utagawa),国芳 (Kuniyoshi),https://www.wikidata.org/wiki/Q317736,,1798-01-01T00:00:00Z,1861-12-31T23:59:59Z,,
山東京伝 Santō Kyōden,kyoden_santo,山東 (Santō),京伝 (Kyōden),https://www.wikidata.org/wiki/Q938347,,1761-09-13T00:00:00Z,1816-10-27T00:00:00Z,,
鏡斎、 (Kyōsai) | Kawanabe Gyosai,kyosai_kawanabe,河鍋 (Kawanabe),鏡斎 (Kyōsai),https://www.wikidata.org/wiki/Q2838030,,1831-01-01T00:00:00Z,1889-12-31T23:59:59Z,,
政演 | Kitao Masanobu; 北尾政演,masanobu_kitao,北尾 (Kitao),政演 (Masanobu),https://www.wikidata.org/wiki/Q938347,,1761-09-13T00:00:00Z,1816-10-27T00:00:00Z,,
正信 | Nishimura Masanobu; 西村正信,masanobu_nishimura,西村 (Nishimura),正信 (Masanobu),,,,,,
奥村政信 Okumura Masanobu,masanobu_okumura,奥村 (Okumura),政信 (Masanobu),https://www.wikidata.org/wiki/Q3350120,,1685-01-01T00:00:00Z,1764-12-31T23:59:59Z,,
政美 | Kitao Masayoshi; 北尾政美,masayoshi_kitao,北尾 (Kitao),政美 (Masayoshi),https://www.wikidata.org/wiki/Q3197564,,1764-01-01T00:00:00Z,1824-04-21T00:00:00Z,,
益信 | Tanaka Masunobu; 田中益信,masunobu_tanaka,田中 (Tanaka),益信 (Masunobu),https://www.wikidata.org/wiki/Q11575749,,,,,
古山師政 Furuyama Moromasa,moromasa_furuyama,古山 (Furuyama),師政 (Moromasa),https://www.wikidata.org/wiki/Q11411077,,1712-01-01T00:00:00Z,1772-12-31T23:59:59Z,,
Hishikawa Moronobu 菱川師宣,moronobu_hishikawa,菱川 (Hishikawa),師宣 (Moronobu),https://www.wikidata.org/wiki/Q746217,,1618-01-01T00:00:00Z,1694-12-31T23:59:59Z,,
南海 | Gion Nankai; 祇園南海,nankai_gion,祇園 (Gion),南海 (Nankai),https://www.wikidata.org/wiki/Q3106864,,1676-01-01T00:00:00Z,1751-10-26T00:00:00Z,,
延保 | Yōshū Nobuyasu; 楊洲延保,nobuyasu_yoshu,楊洲 (Yōshū),延保 (Nobuyasu),,,,,,
葛飾応為 Katsushika Oi,oi_katsushika,葛飾 (Katsushika),応為 (Ōi),https://www.wikidata.org/wiki/Q11621076,,1800-01-01T00:00:00Z,1866-12-31T23:59:59Z,,
円山応挙 Maruyama Ōkyo  ,okyo_maruyama,円山 (Maruyama),応挙 (Ōkyo),https://www.wikidata.org/wiki/Q405444,,1733-01-01T00:00:00Z,1795-12-31T23:59:59Z,,
養信 | Kanō Osanobu; 狩野養信,osanobu_kano,狩野 (Kanō),養信 (Osanobu),https://www.wikidata.org/wiki/Q11571495,,1796-08-18T00:00:00Z,1846-06-12T23:59:59Z,,
蘭渓 | Takasaki Rankei; 高崎蘭渓,rankei_takasaki,高崎 (Takasaki),蘭渓 (Rankei),,,,,,
立祥 | Risshō,rissho,立祥 (Risshō),,https://www.wikidata.org/wiki/Q653454,,1826-01-01T00:00:00Z,1869-09-17T00:00:00Z,,
深江芦舟 Fukae Roshu,roshu_fukae,深江 (Fukae),芦舟 (Rōshū),https://www.wikidata.org/wiki/Q52447640,,1699-01-01T00:00:00Z,1757-12-31T23:59:59Z,,
良八 | Yokoyama Ryōhachi; 横山良八,ryohachi_yokoyama,横山 (Yokoyama),良八 (Ryōhachi),https://www.wikidata.org/wiki/Q27921113,,,,,
歌川貞房 Utagawa Sadafusa,sadafusa_utagawa,歌川 (Utagawa),貞房 (Sadafusa),https://www.wikidata.org/wiki/Q11545215,,1818-01-01T00:00:00Z,1855-12-31T23:59:59Z,,
"五雲亭貞秀,五雲亭貞秀, 糸庄 Utagawa Sadahide",sadahide_utagawa,歌川 (Utagawa),貞秀 (Sadahide),https://www.wikidata.org/wiki/Q3552727,,1807-01-01T00:00:00Z,1873-01-01T00:00:00Z,,
歌川貞景 Utagawa Sadakage,sadakage_utagawa,歌川 (Utagawa),貞景 (Sadakage),https://www.wikidata.org/wiki/Q11545214,,1818-01-01T00:00:00Z,1844-12-31T23:59:59Z,,
長谷川貞信 Hasegawa Sadanobu,sadanobu_hasegawa_1,長谷川 (Hasegawa),貞信 (Sadanobu) 初代 (I),https://www.wikidata.org/wiki/Q11653981,,1809-01-01T00:00:00Z,1879-12-31T23:59:59Z,,
長谷川貞信 Hasegawa Sadanobu II,sadanobu_hasegawa_2,長谷川 (Hasegawa),貞信 (Sadanobu)  二代目 (II),https://www.wikidata.org/wiki/Q11653982,,1848-10-18T00:00:00Z,1940-06-21T23:59:59Z,,
貞重 | Utagawa Sadashige,sadashige_utagawa,歌川 (Utagawa),貞重 (Sadashige),https://www.wikidata.org/wiki/Q3552727,,1807-01-01T00:00:00Z,1873-01-01T00:00:00Z,,
歌川貞雪 Utagawa Sadayuki,sadayuki_utagawa,歌川 (Utagawa),貞雪 (Sadayuki),,,1839-01-01T00:00:00Z,1840-12-31T23:59:59Z,,
沢雪嶠 Sawa Sekkyō,sekkyo_sawa,沢 (Sawa),雪嶠 (Sekkyō),https://www.wikidata.org/wiki/Q640997,,1818-01-01T00:00:00Z,1823-12-31T23:59:59Z,,
重清 | Utagawa Shigekiyo,shigekiyo_utagawa,歌川 (Utagawa),重清 (Shigekiyo),https://www.wikidata.org/wiki/Q11545224,,,,,
重政 | Kitao Shigemasa; 北尾重政,shigemasa_kitao,北尾 (Kitao),重政 (Shigemasa),https://www.wikidata.org/wiki/Q3074364,,1739-01-01T00:00:00Z,1820-01-01T00:00:00Z,,
重長 | Nishimura Shigenaga; 西村重長,shigenaga_nishimura,西村 (Nishimura),重長 (Shigenaga),https://www.wikidata.org/wiki/Q11628686,,1697-01-01T00:00:00Z,1756-07-23T23:59:59Z,,
西村重信 Nishimura Shigenobu,shigenobu_nishimura,西村 (Nishimura),重信 (Shigenobu),https://www.wikidata.org/wiki/Q3038261,,1711-01-01T00:00:00Z,1785-12-31T23:59:59Z,,
柳川重信 Yanagawa Shigenobu I,shigenobu_yanagawa_1,柳川 (Yanagawa),重信 (Shigenobu) 初代 (I),https://www.wikidata.org/wiki/Q3084549,,1787-01-01T00:00:00Z,1833-01-18T23:59:59Z,,
柳川重信 Yanagawa Shigenobu II,shigenobu_yanagawa_2,柳川 (Yanagawa),重信 (Shigenobu) 二代目 (II),https://www.wikidata.org/wiki/Q11534307,,1820-01-01T00:00:00Z,1859-12-31T23:59:59Z,,
柳々居辰斎 Ryūryūkyo Shinsai,shinsai_ryuryukyo,柳々居 (Ryūryūkyo),辰斎 (Shinsai),https://www.wikidata.org/wiki/Q11534045,,1764-01-01T00:00:00Z,1823-12-31T23:59:59Z,,
紫石 | Sō Shiseki; 宋紫石,shiseki_so,宋 (Sō),紫石 (Shiseki),https://www.wikidata.org/wiki/Q3511675,,1712-01-01T00:00:00Z,1786-04-09T00:00:00Z,,
舟調 | Tamagawa Shūchō; 玉川舟調,shucho_tamagawa,玉川 (Tamagawa),舟調 (Shūchō),https://www.wikidata.org/wiki/Q11572595,,,,,
春潮 | Katsukawa Shunchō; 勝川春潮,shuncho_katsukawa,勝川 (Katsukawa),春潮 (Shunchō),https://www.wikidata.org/wiki/Q2799156,,1750-01-01T00:00:00Z,1821-01-01T00:00:00Z,,
勝川春童 Katsukawa Shundō,shundo_katsukawa,勝川 (Katsukawa),春童 (Shundō),https://www.wikidata.org/wiki/Q11400292,,1770-01-01T00:00:00Z,1799-12-31T23:59:59Z,,
勝川春好 Katsukawa Shunkō,shunko_katsukawa,勝川 (Katsukawa),春好 (Shunkō) 初代 (I),https://www.wikidata.org/wiki/Q3075055,,1743-01-01T00:00:00Z,1812-12-31T23:59:59Z,,
春好〈2〉 | Katsukawa Shunkō:2,shunko_katsukawa_2,勝川 (Katsukawa),春好 Shunkō 二代目 (II),https://www.wikidata.org/wiki/Q3074344,,1762-01-01T00:00:00Z,1831-01-01T00:00:00Z,,
"俊満, 俊滿 Kubo Shunman",shunman_kubo,窪 (Kubo),俊満 (Shunman),https://www.wikidata.org/wiki/Q3200184,,1757-01-01T00:00:00Z,1820-12-31T23:59:59Z,,
勝川春朗 Katsukawa Shunro,shunro_katsukawa,勝川 (Katsukawa),春朗 (Shunrō),https://www.wikidata.org/wiki/Q5586,,1760-01-01T00:00:00Z,1849-12-31T23:59:59Z,,
勝川春扇 Katsukawa Shunsen,shunsen_katsukawa,勝川 (Katsukawa),春扇 (Shunsen),https://www.wikidata.org/wiki/Q3074344,,1762-01-01T00:00:00Z,1831-12-31T23:59:59Z,,
勝川春章 Katsukawa Shunshō,shunsho_katsukawa,勝川 (Katsukawa),春英 (Shunshō),https://www.wikidata.org/wiki/Q1358636,,1726-01-01T00:00:00Z,1792-01-19T23:59:59Z,,
勝川春水 Miyagawa Shunsui,shunsui_miyagawa,勝川 (Miyagawa),春水 (Shunsui),https://www.wikidata.org/wiki/Q3072449,,1740-01-01T00:00:00Z,1769-12-31T23:59:59Z,,
春亭 | Katsukawa Shuntei; 勝川春亭,shuntei_katsukawa,勝川 (Katsukawa),春亭 (Shuntei),https://www.wikidata.org/wiki/Q11400282,,1770-01-01T00:00:00Z,1820-01-01T00:00:00Z,,
勝川春山 Katsukawa Shunzan,shunzan_katsukawa,勝川 (Katsukawa),春山 (Shunzan),https://www.wikidata.org/wiki/Q2420218,,1782-01-01T00:00:00Z,1798-12-31T23:59:59Z,,
西川祐信 Nishikawa Sukenobu,sukenobu_nishikawa,西川 (Nishikawa),祐信 (Sukenobu),https://www.wikidata.org/wiki/Q3109429,,1671-01-01T00:00:00Z,1751-12-31T23:59:59Z,,
台山 | Hirose Taizan; 広瀬台山,taizan_hirose,広瀬 (Hirose),台山 (Taizan),https://www.wikidata.org/wiki/Q3136342,,1751-01-01T00:00:00Z,1813-11-05T00:00:00Z,,
